Code,Name,TIB Core,German Description,English Description
7.5f,Wehrrecht,False,"Wehrrecht ist ein Teilbereich des öffentlichen Rechts, der sich mit den rechtlichen Grundlagen der Wehrpflicht, der Organisation der Streitkräfte sowie den Rechten und Pflichten von Soldaten befasst. Es umfasst sowohl nationale Gesetze als auch internationale Abkommen, die den Einsatz und die Struktur der Streitkräfte regeln.","Wehrrecht, or military law, is a branch of public law that deals with the legal foundations of conscription, the organization of armed forces, and the rights and duties of soldiers. It encompasses both national legislation and international agreements governing the deployment and structure of military forces."
7.6a,"Polizeirecht, Ordnungsrecht",False,"Polizeirecht und Ordnungsrecht sind Teilgebiete des öffentlichen Rechts, die sich mit der Gefahrenabwehr und der Aufrechterhaltung der öffentlichen Sicherheit und Ordnung befassen. Das Polizeirecht regelt die Befugnisse und Aufgaben der Polizei, während das Ordnungsrecht allgemeine staatliche Maßnahmen zur Gefahrenabwehr umfasst. Beide Rechtsbereiche dienen dem Schutz der Bürger und der Gesellschaft vor Bedrohungen und Störungen.","Police law and regulatory law are subfields of public law that deal with hazard prevention and the maintenance of public safety and order. Police law governs the powers and duties of the police, while regulatory law encompasses general state measures for hazard prevention. Both legal areas aim to protect citizens and society from threats and disturbances."
7.6b,Gesundheitsrecht,False,"Gesundheitsrecht ist ein Bereich des öffentlichen Rechts, der sich mit den rechtlichen Rahmenbedingungen des Gesundheitswesens befasst. Es umfasst Regelungen zur Krankenversicherung, zur ärztlichen Berufsausübung, zum Patientenrecht, zum Datenschutz im Gesundheitsbereich sowie zu den Beziehungen zwischen Ärzten, Krankenhäusern, Patienten und Versicherungen. Das Gesundheitsrecht ist interdisziplinär und verbindet rechtliche, ethische und medizinische Aspekte.","Health law is a branch of public law that deals with the legal framework of the healthcare system. It includes regulations on health insurance, medical practice, patient rights, data protection in healthcare, and the relationships between doctors, hospitals, patients, and insurers. Health law is interdisciplinary, combining legal, ethical, and medical aspects."
7.6c,Kriminologie,False,"Kriminologie ist die wissenschaftliche Disziplin, die sich mit der Erforschung von Kriminalität, ihren Ursachen, Erscheinungsformen und den gesellschaftlichen Reaktionen darauf beschäftigt. Sie umfasst die Analyse von Straftaten, Täterpersönlichkeiten, Opferrollen sowie die Entwicklung von Präventions- und Interventionsstrategien. Kriminologie verbindet Erkenntnisse aus verschiedenen Fachgebieten wie Soziologie, Psychologie, Rechtswissenschaft und Kriminalistik.","Criminology is the scientific discipline that focuses on the study of crime, its causes, manifestations, and societal responses to it. It involves the analysis of criminal offenses, offender profiles, victim roles, and the development of prevention and intervention strategies. Criminology integrates insights from various fields such as sociology, psychology, legal studies, and criminalistics."
7.7a,Strafrecht,False,"Strafrecht ist ein Teil des Rechtssystems, der sich mit der Definition von Straftaten, den rechtlichen Konsequenzen von Verbrechen und dem Verfahren zur Verfolgung und Bestrafung von Tätern befasst. Es umfasst sowohl das materielle Strafrecht, das festlegt, welche Handlungen strafbar sind, als auch das formelle Strafrecht, das die Prozessordnung und die Durchsetzung der Strafgesetze regelt. Ziel des Strafrechts ist der Schutz der Gesellschaft, die Wahrung der Rechtsordnung und die Resozialisierung von Straftätern.","Criminal law is a branch of the legal system that deals with the definition of crimes, the legal consequences of criminal acts, and the procedures for prosecuting and punishing offenders. It encompasses both substantive criminal law, which defines what constitutes a crime, and procedural criminal law, which governs the process of enforcing criminal laws. The primary goals of criminal law are to protect society, maintain legal order, and rehabilitate offenders."
7.7b,Strafvollzug,False,"Der Strafvollzug beschäftigt sich mit der Umsetzung und Gestaltung von Freiheitsstrafen in Justizvollzugsanstalten. Es geht um die rechtlichen Grundlagen, die Organisation des Vollzugs, die Behandlung und Resozialisierung von Gefangenen sowie die Sicherheit und Ordnung innerhalb der Anstalten. Ziel ist es, ein Gleichgewicht zwischen Strafe, Schutz der Gesellschaft und der Wiedereingliederung der Straftäter zu finden.","Prison administration, or ""Strafvollzug,"" deals with the implementation and management of custodial sentences in correctional facilities. It encompasses the legal framework, the organization of prison operations, the treatment and rehabilitation of inmates, as well as maintaining safety and order within the institutions. The aim is to balance punishment, societal protection, and the reintegration of offenders into society."
7.8a,"Rechtspflege, Prozessrecht",False,"""Rechtspflege, Prozessrecht"" befasst sich mit der Organisation und dem Ablauf von Gerichtsverfahren sowie der Durchsetzung von Rechtsansprüchen. Es umfasst sowohl das Zivilprozessrecht, Strafprozessrecht als auch das Verwaltungsprozessrecht. Das Fach beleuchtet die Rollen der beteiligten Akteure (wie Richter, Anwälte und Parteien), die Verfahrensgrundsätze sowie die rechtlichen Rahmenbedingungen, die eine faire und effiziente Rechtspflege gewährleisten sollen.","""Rechtspflege, Prozessrecht"" (Administration of Justice, Procedural Law) deals with the organization and conduct of court proceedings as well as the enforcement of legal claims. It encompasses civil procedure law, criminal procedure law, and administrative procedure law. The subject examines the roles of the involved actors (such as judges, lawyers, and parties), the principles of procedure, and the legal frameworks that aim to ensure fair and efficient administration of justice."
7.8b,Rechtsmedizin,False,"Rechtsmedizin, auch Forensische Medizin genannt, ist ein interdisziplinäres Fach, das medizinische Kenntnisse mit rechtlichen Fragestellungen verbindet. Es beschäftigt sich mit der Aufklärung von Todesfällen, der Untersuchung von Verletzungen, der Beurteilung von Gewalteinwirkungen sowie der Klärung von rechtlich relevanten medizinischen Sachverhalten. Rechtsmediziner arbeiten eng mit Strafverfolgungsbehörden, Gerichten und anderen Institutionen zusammen, um objektive Beweise für juristische Verfahren zu liefern.","Forensic medicine, also known as legal medicine, is an interdisciplinary field that combines medical knowledge with legal issues. It deals with the investigation of deaths, the examination of injuries, the assessment of violent impacts, and the clarification of medically relevant legal matters. Forensic medical experts work closely with law enforcement agencies, courts, and other institutions to provide objective evidence for legal proceedings."
7.9a,Finanzrecht,False,"Finanzrecht ist ein Teilgebiet des öffentlichen Rechts, das sich mit den rechtlichen Regelungen rund um die Erhebung und Verwaltung von Steuern sowie anderen öffentlichen Abgaben befasst. Es umfasst sowohl materielle als auch formelle Aspekte, wie Steuergesetze, Steuerverwaltungsverfahren und Finanzgerichtsbarkeit. Das Finanzrecht regelt das Verhältnis zwischen dem Staat und den Steuerpflichtigen und sichert die gerechte und effiziente Erhebung von Finanzmitteln für die öffentliche Hand.","Financial law is a branch of public law that deals with the legal regulations surrounding the levying and administration of taxes and other public charges. It encompasses both substantive and procedural aspects, such as tax laws, tax administration procedures, and financial jurisdiction. Financial law governs the relationship between the state and taxpayers and ensures the fair and efficient collection of funds for the public sector."
7.9b,"Steuerrecht, Zollrecht",False,"'Steuerrecht, Zollrecht' umfasst die rechtlichen Regelungen, die sich mit der Erhebung und Verwaltung von Steuern und Zöllen befassen. Das Steuerrecht regelt die Besteuerung von natürlichen und juristischen Personen sowie Unternehmen, während das Zollrecht die Ein- und Ausfuhr von Waren, die Zollabfertigung und die damit verbundenen Abgaben behandelt. Beide Rechtsgebiete sind eng miteinander verknüpft und spielen eine zentrale Rolle in der Finanzverwaltung und der Wirtschaftspolitik eines Staates.","'Steuerrecht, Zollrecht' (Tax Law, Customs Law) encompasses the legal regulations governing the collection and administration of taxes and customs duties. Tax law deals with the taxation of individuals, legal entities, and businesses, while customs law addresses the import and export of goods, customs clearance, and associated charges. Both areas of law are closely interconnected and play a central role in a state's financial administration and economic policy."
7.10a,"Wirtschaftsrecht, Wirtschaftsaufsicht",False,"Wirtschaftsrecht und Wirtschaftsaufsicht beschäftigen sich mit den rechtlichen Rahmenbedingungen und der staatlichen Überwachung von wirtschaftlichen Aktivitäten. Das Wirtschaftsrecht umfasst Regelungen zu Handels-, Arbeits-, Wettbewerbs- und Steuerrecht, während die Wirtschaftsaufsicht die Einhaltung dieser Vorschriften durch Behörden kontrolliert. Ziel ist es, einen fairen Wettbewerb, Verbraucherschutz und die Stabilität des Wirtschaftssystems zu gewährleisten.","Business law and economic supervision deal with the legal framework and state oversight of economic activities. Business law includes regulations on commercial, labor, competition, and tax law, while economic supervision ensures compliance with these rules through regulatory authorities. The aim is to ensure fair competition, consumer protection, and the stability of the economic system."
7.10b,"Gewerblicher Rechtsschutz, Urheberrecht",False,"*Gewerblicher Rechtsschutz und Urheberrecht* sind zentrale Bereiche des geistigen Eigentums. Der gewerbliche Rechtsschutz umfasst den Schutz von Erfindungen (Patente), Marken, Designs und Geschäftsgeheimnissen, während das Urheberrecht das geistige Schaffen in den Bereichen Literatur, Kunst, Musik und Software schützt. Beide Rechtsgebiete dienen der Sicherung und Förderung von Innovation und Kreativität in Wirtschaft und Kultur.","*Industrial property protection and copyright law* are key areas of intellectual property. Industrial property protection covers the safeguarding of inventions (patents), trademarks, designs, and trade secrets, while copyright law protects intellectual creations in the fields of literature, art, music, and software. Both legal areas aim to secure and promote innovation and creativity in the economy and culture."
7.11a,"Arbeitsrecht, Sozialrecht, Recht der Tarifverträge",False,"Das Fachgebiet „Arbeitsrecht, Sozialrecht, Recht der Tarifverträge“ befasst sich mit den rechtlichen Rahmenbedingungen der Arbeitsbeziehungen zwischen Arbeitgebern und Arbeitnehmern. Es umfasst das individuelle und kollektive Arbeitsrecht, das Sozialrecht, welches die sozialen Sicherungssysteme regelt, sowie das Tarifvertragsrecht, das die Gestaltung von Tarifverträgen zwischen Gewerkschaften und Arbeitgeberverbänden behandelt. Es ist ein zentrales Gebiet des Wirtschafts- und Sozialrechts, das die Rechte und Pflichten aller beteiligten Parteien festlegt.","The subject ""Labor Law, Social Law, and Collective Bargaining Law"" deals with the legal frameworks governing employment relationships between employers and employees. It encompasses individual and collective labor law, social law, which regulates social security systems, and collective bargaining law, which governs the negotiation of collective agreements between trade unions and employers' associations. It is a central area of economic and social law that defines the rights and obligations of all involved parties."
7.11b,Berufsrecht,False,"Berufsrecht umfasst die Gesamtheit der rechtlichen Regelungen, die für die Ausübung eines bestimmten Berufs gelten. Dazu gehören Gesetze, Verordnungen, Berufsordnungen und Standesregeln, die beispielsweise Zugangsvoraussetzungen, Pflichten, Rechte und die berufliche Ethik der jeweiligen Berufsgruppe regeln. Es dient dem Schutz der Berufsausübenden, der Klienten oder Patienten sowie der Qualitätssicherung in der beruflichen Praxis.","Professional law (Berufsrecht) encompasses the entirety of legal regulations governing the practice of a specific profession. This includes laws, ordinances, professional codes, and ethical standards that define entry requirements, duties, rights, and the professional ethics of the respective occupational group. It serves to protect professionals, their clients or patients, and to ensure the quality of professional practice."
7.11c,Gebührenrecht,False,"Gebührenrecht ist ein Teilgebiet des öffentlichen Rechts, das sich mit der Erhebung von Gebühren und Beiträgen durch staatliche oder kommunale Stellen befasst. Es regelt die rechtlichen Grundlagen, die Höhe, die Berechnung sowie die Erhebungsmodalitäten von Gebühren für öffentliche Leistungen, wie z. B. Verwaltungsakte, Dienstleistungen oder Nutzungen von öffentlichen Einrichtungen. Das Gebührenrecht ist eng mit dem Haushalts- und Kommunalrecht verbunden und zielt darauf ab, eine angemessene Kostendeckung für öffentliche Aufgaben sicherzustellen.","Gebührenrecht, or ""fee law,"" is a branch of public law that deals with the imposition of fees and charges by state or municipal authorities. It establishes the legal framework for the amount, calculation, and collection of fees for public services, such as administrative acts, public utilities, or the use of public facilities. Fee law is closely related to budgetary and municipal law and aims to ensure appropriate cost recovery for public tasks."
7.12,Bürgerliches Recht,False,"Das Bürgerliche Recht, auch Zivilrecht genannt, ist ein zentraler Bereich des Privatrechts und regelt die Rechtsbeziehungen zwischen privaten Personen, Unternehmen und anderen Rechtsträgern. Es umfasst unter anderem das Allgemeine Bürgerliche Gesetzbuch (ABGB) in Österreich bzw. das Bürgerliche Gesetzbuch (BGB) in Deutschland und befasst sich mit Themen wie Vertragsrecht, Eigentum, Familienrecht und Erbrecht. Es dient der Ordnung und dem Schutz individueller Rechte und Pflichten im privaten Bereich.","Civil law, also known as private law, is a fundamental area of law that governs the legal relationships between private individuals, companies, and other legal entities. It includes the General Civil Code (ABGB) in Austria or the Civil Code (BGB) in Germany and covers topics such as contract law, property law, family law, and inheritance law. It serves to regulate and protect individual rights and obligations in the private sphere."
7.12a,Allgemeiner Teil des Bürgerlichen Rechts,False,"Der ""Allgemeine Teil des Bürgerlichen Rechts"" ist ein grundlegender Bestandteil des deutschen Zivilrechts und bildet den ersten Teil des Bürgerlichen Gesetzbuches (BGB). Er befasst sich mit allgemeinen Prinzipien und Regelungen, die für das gesamte Zivilrecht gelten, wie beispielsweise Rechtsfähigkeit, Geschäftsfähigkeit, Willenserklärungen, Verträge, Stellvertretung und Verjährung. Der Allgemeine Teil dient als systematische Grundlage und vereinfacht die Anwendung des BGB, indem er wiederkehrende Fragen einheitlich regelt.","The ""General Part of Civil Law"" is a fundamental component of German civil law and constitutes the first part of the German Civil Code (BGB). It deals with general principles and regulations that apply to the entire field of civil law, such as legal capacity, contractual capacity, declarations of intent, contracts, representation, and statutes of limitations. The General Part serves as a systematic foundation and simplifies the application of the BGB by uniformly addressing recurring legal issues."
7.12b,Schuldrecht,False,"Schuldrecht ist ein zentraler Bereich des Zivilrechts, der die rechtlichen Beziehungen zwischen Gläubigern und Schuldnern regelt. Es umfasst die Entstehung, den Inhalt, die Erfüllung und die Beendigung von Schuldverhältnissen, wie sie beispielsweise aus Verträgen, unerlaubten Handlungen oder gesetzlichen Vorschriften resultieren. Das Schuldrecht ist im Bürgerlichen Gesetzbuch (BGB) in Deutschland kodifiziert und bildet die Grundlage für die Gestaltung und Durchsetzung privatrechtlicher Ansprüche.","Schuldrecht, or the law of obligations, is a fundamental area of civil law that governs the legal relationships between creditors and debtors. It encompasses the creation, content, fulfillment, and termination of obligations, which can arise from contracts, torts, or statutory provisions. In Germany, Schuldrecht is codified in the Civil Code (Bürgerliches Gesetzbuch, BGB) and provides the framework for the formation and enforcement of private law claims."
7.12c,Sachenrecht,False,"Sachenrecht ist ein Teilgebiet des Zivilrechts, das sich mit den Rechtsverhältnissen an körperlichen Gegenständen (Sachen) befasst. Es regelt insbesondere die Eigentumsverhältnisse, Besitzrechte sowie dingliche Rechte wie Grundpfandrechte oder Nießbrauch. Das Sachenrecht ist in Deutschland im Bürgerlichen Gesetzbuch (BGB) in den §§ 854–1296 kodifiziert und zeichnet sich durch die Grundsätze der Publizität, Spezialität und Bestimmtheit aus.","Sachenrecht, or property law, is a branch of civil law that deals with legal relationships concerning tangible objects (things). It primarily governs ownership, possession, and real rights such as mortgages or usufruct. In Germany, property law is codified in the Civil Code (BGB) under §§ 854–1296 and is characterized by principles such as publicity, specificity, and certainty."
7.12d,Familienrecht,False,"Das Familienrecht ist ein Teilgebiet des Zivilrechts und regelt die rechtlichen Beziehungen zwischen Familienmitgliedern. Es umfasst Themen wie Ehe, eingetragene Lebenspartnerschaften, Scheidung, Unterhalt, Sorgerecht, Adoption und Verwandtschaftsverhältnisse. Das Familienrecht hat zum Ziel, die Interessen aller Beteiligten, insbesondere der Kinder, zu schützen und faire Lösungen in familiären Konflikten zu gewährleisten.","Family law is a branch of civil law that governs the legal relationships between family members. It covers issues such as marriage, registered partnerships, divorce, alimony, child custody, adoption, and kinship. The aim of family law is to protect the interests of all parties involved, particularly children, and to ensure fair resolutions in family disputes."
7.12e,Erbrecht,False,"Das Erbrecht ist ein Teilgebiet des Zivilrechts, das die Regelungen zur Übertragung des Vermögens einer verstorbenen Person (Erblasser) auf deren Erben festlegt. Es umfasst sowohl gesetzliche Bestimmungen als auch testamentarische Verfügungen und regelt Fragen wie Erbfolge, Pflichtteilsansprüche, Testamentsgestaltung sowie die Abwicklung des Nachlasses. Das Erbrecht ist im Bürgerlichen Gesetzbuch (BGB) verankert.","Inheritance law is a branch of civil law that governs the transfer of a deceased person’s (decedent’s) estate to their heirs. It encompasses both statutory provisions and testamentary dispositions, addressing issues such as succession, compulsory shares, the drafting of wills, and the administration of the estate. Inheritance law is codified in the German Civil Code (Bürgerliches Gesetzbuch, BGB)."
7.13,"Religionsrecht, Kirchenrecht, Staatskirchenrecht",False,"Religionsrecht, Kirchenrecht und Staatskirchenrecht sind juristische Disziplinen, die sich mit dem Verhältnis zwischen Religion, Kirche und Staat befassen. Das Religionsrecht umfasst die rechtlichen Regelungen für religiöse Gemeinschaften und deren Praxis. Das Kirchenrecht bezieht sich auf die inneren Rechtsordnungen von Kirchen und religiösen Organisationen. Das Staatskirchenrecht regelt die Beziehungen zwischen dem Staat und religiösen Gemeinschaften, einschließlich der Grundsätze der Religionsfreiheit und der Trennung von Kirche und Staat. Diese Bereiche sind insbesondere in Ländern mit einer vielfältigen religiösen Landschaft von großer Bedeutung.","Religious law, ecclesiastical law, and state-church law are legal disciplines that deal with the relationship between religion, church, and the state. Religious law encompasses the legal regulations for religious communities and their practices. Ecclesiastical law refers to the internal legal systems of churches and religious organizations. State-church law governs the relationship between the state and religious communities, including principles of religious freedom and the separation of church and state. These areas are particularly significant in countries with diverse religious landscapes."
7.14,"Internationales Recht, Kollisionsrecht",False,"Das Fach 'Internationales Recht, Kollisionsrecht' befasst sich mit den rechtlichen Fragestellungen, die entstehen, wenn grenzüberschreitende Sachverhalte Berührungspunkte zu mehreren Rechtsordnungen aufweisen. Das Kollisionsrecht, auch Internationales Privatrecht genannt, regelt, welches nationale Recht in solchen Fällen anzuwenden ist. Es umfasst die Bestimmung der zuständigen Gerichte, die Anerkennung ausländischer Urteile sowie die Lösung von Konflikten zwischen unterschiedlichen Rechtsnormen. Das internationale Recht hingegen bezieht sich auf die zwischenstaatlichen Beziehungen und völkerrechtliche Verträge.","The subject 'International Law, Conflict of Laws' deals with legal issues that arise when cross-border cases involve multiple legal systems. Conflict of Laws, also known as Private International Law, determines which national law applies in such cases. It includes the identification of competent courts, the recognition of foreign judgments, and the resolution of conflicts between different legal norms. International Law, on the other hand, pertains to interstate relations and international treaties."
7.14p,Personen zu Recht,False,"""Personen zu Recht"" ist ein juristisches Fach, das sich mit den rechtlichen Aspekten von Personen befasst, insbesondere mit deren Rechtsfähigkeit, Handlungsfähigkeit und den verschiedenen Rechtsbeziehungen, in die sie eintreten können. Es behandelt Themen wie die Unterscheidung zwischen natürlichen und juristischen Personen, deren Rechte und Pflichten sowie die gesetzlichen Regelungen, die sie betreffen.","""Personen zu Recht"" (Persons in Law) is a legal subject that focuses on the legal aspects of persons, particularly their legal capacity, capacity to act, and the various legal relationships they can enter into. It covers topics such as the distinction between natural and legal persons, their rights and obligations, and the statutory regulations that apply to them."
7.15a,"Öffentliche Verwaltung, Öffentlicher Dienst",False,"Das Fach ""Öffentliche Verwaltung, Öffentlicher Dienst"" befasst sich mit der Organisation, den Strukturen und den Prozessen der staatlichen und kommunalen Verwaltung. Es umfasst Themen wie Verwaltungsrecht, öffentliches Management, Politikimplementation sowie die Rolle des öffentlichen Dienstes in der Gesellschaft. Ziel ist es, Kenntnisse und Kompetenzen für eine effiziente und bürgernahe Verwaltung zu vermitteln, wobei auch ethische Aspekte und gesellschaftliche Verantwortung eine zentrale Rolle spielen.","The subject ""Public Administration, Civil Service"" focuses on the organization, structures, and processes of governmental and municipal administration. It covers topics such as administrative law, public management, policy implementation, and the role of the civil service in society. The aim is to provide knowledge and skills for efficient and citizen-oriented administration, with ethical aspects and social responsibility playing a central role."
7.15b,Geschichte der Öffentlichen Verwaltung,False,"„Geschichte der Öffentlichen Verwaltung“ ist ein Fach, das die Entwicklung und Transformation von Verwaltungsstrukturen und -prozessen im öffentlichen Sektor im historischen Kontext untersucht. Es beleuchtet die Entstehung, Reformen und Herausforderungen öffentlicher Verwaltungen in verschiedenen Epochen und politischen Systemen. Themen umfassen die Entwicklung von Bürokratie, Verwaltungsreformen, den Einfluss von Gesetzen und die Rolle der Verwaltung in der Gesellschaft. Das Fach verbindet historische Analyse mit verwaltungswissenschaftlichen Erkenntnissen, um das Verständnis für die Funktionsweise und die Bedeutung der öffentlichen Verwaltung zu vertiefen.","""History of Public Administration"" is a subject that explores the development and transformation of administrative structures and processes in the public sector within a historical context. It examines the emergence, reforms, and challenges of public administrations across different eras and political systems. Topics include the evolution of bureaucracy, administrative reforms, the impact of laws, and the role of administration in society. The subject combines historical analysis with insights from administrative science to deepen the understanding of the functioning and significance of public administration."
8.1,"Politik (Allgemeines), Politische Theorie",False,"Das Fach ""Politik (Allgemeines), Politische Theorie"" befasst sich mit den grundlegenden Prinzipien, Konzepten und Ideen, die politische Systeme und Prozesse prägen. Es untersucht die Entstehung, Entwicklung und Anwendung politischer Theorien sowie deren Einfluss auf gesellschaftliche Strukturen und Entscheidungsprozesse. Themen wie Macht, Gerechtigkeit, Demokratie, Herrschaft und Legitimität stehen im Mittelpunkt.","The subject ""Politics (General), Political Theory"" deals with the fundamental principles, concepts, and ideas that shape political systems and processes. It explores the origins, development, and application of political theories, as well as their impact on societal structures and decision-making processes. Key topics include power, justice, democracy, governance, and legitimacy."
8.2a,Innenpolitik,False,"Innenpolitik befasst sich mit den politischen Entscheidungen und Maßnahmen, die sich auf die inneren Angelegenheiten eines Staates beziehen. Dazu gehören Themen wie Bildung, Sicherheit, Gesundheit, Sozialpolitik, Recht und Ordnung sowie die Verwaltung des Landes. Ziel ist es, die Stabilität, das Wohlergehen und die Entwicklung der Gesellschaft innerhalb der nationalen Grenzen zu fördern.","Innenpolitik, or domestic policy, deals with political decisions and measures related to the internal affairs of a state. This includes issues such as education, security, healthcare, social policy, law and order, and national administration. The aim is to promote stability, well-being, and the development of society within the country’s borders."
8.2b,"Parteien, Politische Organisationen",False,"Das Fach ""Parteien, Politische Organisationen"" befasst sich mit der Rolle, Struktur und Funktion von politischen Parteien und Organisationen in demokratischen Systemen. Es untersucht ihre Entstehung, Entwicklung, interne Dynamik sowie ihren Einfluss auf politische Entscheidungsprozesse und die Gesellschaft. Themen wie Parteiprogramme, Mitgliederstruktur, Finanzierung und die Interaktion mit anderen politischen Akteuren werden analysiert, um ein umfassendes Verständnis ihrer Bedeutung in der Politik zu vermitteln.","The subject ""Parties, Political Organizations"" focuses on the role, structure, and function of political parties and organizations in democratic systems. It explores their formation, development, internal dynamics, and their influence on political decision-making processes and society. Topics such as party platforms, membership structures, funding, and interactions with other political actors are analyzed to provide a comprehensive understanding of their significance in politics."
8.3,Außenpolitik,False,"Außenpolitik bezieht sich auf die Strategien, Ziele und Maßnahmen, die ein Staat in seinen Beziehungen zu anderen Ländern und internationalen Akteuren verfolgt. Sie umfasst Bereiche wie Diplomatie, internationale Zusammenarbeit, Sicherheitspolitik, Handel und kulturellen Austausch. Das Ziel ist es, nationale Interessen zu fördern, Frieden zu sichern und globale Herausforderungen gemeinsam zu bewältigen.","Foreign policy refers to the strategies, objectives, and actions that a state pursues in its relations with other countries and international actors. It encompasses areas such as diplomacy, international cooperation, security policy, trade, and cultural exchange. The aim is to promote national interests, ensure peace, and address global challenges collectively."
8.4,Militär,False,"Das Fach 'Militär' beschäftigt sich mit der Erforschung von Streitkräften, deren Struktur, Strategien, Technologien und historischer Entwicklung. Es umfasst Aspekte wie taktische und operative Planung, militärische Ethik, Sicherheitspolitik sowie die Rolle des Militärs in Gesellschaft und internationalen Beziehungen.","The subject of 'Military' focuses on the study of armed forces, their structure, strategies, technologies, and historical development. It encompasses aspects such as tactical and operational planning, military ethics, security policy, and the role of the military in society and international relations."
8.4p,"Personen zu politischer Theorie, Militär",False,"Das Fach „Personen zu politischer Theorie, Militär“ beschäftigt sich mit bedeutenden Persönlichkeiten, die sowohl die politische Theorie als auch das Militärwesen geprägt haben. Es untersucht deren Ideen, Strategien und Einflüsse auf politische Systeme, Kriegsführung und gesellschaftliche Strukturen. Dabei werden historische und philosophische Ansätze analysiert, um das Zusammenspiel von Politik und Militär zu verstehen.","The subject ""Figures in Political Theory and Military"" focuses on influential individuals who have shaped both political theory and military affairs. It explores their ideas, strategies, and impacts on political systems, warfare, and societal structures. The field analyzes historical and philosophical approaches to understand the interplay between politics and the military."
9.1,Sozialgeschichte,False,"Sozialgeschichte ist ein Teilgebiet der Geschichtswissenschaft, das sich mit der Entwicklung und Struktur von Gesellschaften im historischen Kontext beschäftigt. Sie untersucht soziale Gruppen, Klassen, Schichten und deren Beziehungen zueinander, sowie Themen wie Armut, Arbeit, Familie, Migration und soziale Ungleichheit. Ziel ist es, gesellschaftliche Veränderungen und deren Ursachen zu verstehen und zu analysieren.","Social history is a subfield of historical studies that focuses on the development and structure of societies in their historical context. It examines social groups, classes, strata, and their interrelations, as well as themes such as poverty, labor, family, migration, and social inequality. The aim is to understand and analyze societal changes and their underlying causes."
9.1a,Sozialgeschichte: Altertum,False,"'Sozialgeschichte: Altertum' ist ein Fachgebiet, das sich mit der Erforschung der sozialen Strukturen, Hierarchien, Institutionen und Lebensbedingungen in antiken Gesellschaften beschäftigt. Es umfasst die Analyse von Themen wie Klassenunterschiede, Familienstrukturen, Sklaverei, Geschlechterrollen und Alltagsleben in Kulturen wie dem Alten Ägypten, Mesopotamien, Griechenland und Rom. Ziel ist es, ein umfassendes Verständnis der sozialen Dynamiken und ihrer Auswirkungen auf die Entwicklung der antiken Welt zu gewinnen.","'Social History: Antiquity' is a field of study that focuses on exploring the social structures, hierarchies, institutions, and living conditions in ancient societies. It includes the analysis of topics such as class distinctions, family structures, slavery, gender roles, and everyday life in cultures like Ancient Egypt, Mesopotamia, Greece, and Rome. The aim is to gain a comprehensive understanding of social dynamics and their impact on the development of the ancient world."
9.1b,Sozialgeschichte: Mittelalter,False,"Sozialgeschichte: Mittelalter erforscht die gesellschaftlichen Strukturen, Lebensbedingungen und sozialen Dynamiken im europäischen Mittelalter (ca. 500–1500 n. Chr.). Dabei werden Themen wie Feudalismus, Ständeordnung, Alltagsleben, Armut und Reichtum, Geschlechterrollen sowie die Beziehungen zwischen verschiedenen sozialen Gruppen untersucht. Diese Disziplin verbindet historische Quellenanalyse mit soziologischen und anthropologischen Ansätzen, um ein umfassendes Verständnis der mittelalterlichen Gesellschaft zu gewinnen.","Social History: Middle Ages examines the societal structures, living conditions, and social dynamics in medieval Europe (ca. 500–1500 AD). It explores themes such as feudalism, the estate system, everyday life, poverty and wealth, gender roles, and the relationships between different social groups. This discipline combines historical source analysis with sociological and anthropological approaches to provide a comprehensive understanding of medieval society."
9.1c,Sozialgeschichte: Neuzeit,False,"""*Sozialgeschichte: Neuzeit*"" ist ein historisches Fachgebiet, das sich mit der Entwicklung sozialer Strukturen, Beziehungen und Prozesse in der Neuzeit (ca. 16. bis 20. Jahrhundert) beschäftigt. Es untersucht Themen wie soziale Klassen, Geschlechterrollen, Migration, Urbanisierung und die Auswirkungen von Industrialisierung und politischen Umbrüchen auf die Gesellschaft. Ziel ist es, ein tieferes Verständnis dafür zu gewinnen, wie soziale Veränderungen historische Entwicklungen geprägt haben.","""*Social History: Early Modern and Modern Period*"" is a field of historical study that focuses on the evolution of social structures, relationships, and processes during the early modern and modern eras (approximately 16th to 20th centuries). It explores themes such as social classes, gender roles, migration, urbanization, and the impact of industrialization and political upheavals on society. The aim is to gain a deeper understanding of how social changes have shaped historical developments."
9.2a,"Sozialwissenschaften allgemein, Soziologische Theorien",False,"""Sozialwissenschaften allgemein, Soziologische Theorien"" ist ein Fachgebiet, das sich mit den grundlegenden Prinzipien, Konzepten und Ansätzen der Sozialwissenschaften beschäftigt. Es umfasst die Analyse und Interpretation gesellschaftlicher Strukturen, Prozesse und Phänomene sowie die kritische Auseinandersetzung mit klassischen und modernen soziologischen Theorien. Themen wie soziale Ordnung, Macht, Ungleichheit, Kultur und sozialer Wandel stehen im Mittelpunkt. Das Fach fördert ein vertieftes Verständnis für die Komplexität menschlicher Interaktionen und gesellschaftlicher Dynamiken.","""Social Sciences in General, Sociological Theories"" is a field of study that explores the fundamental principles, concepts, and approaches of the social sciences. It involves the analysis and interpretation of societal structures, processes, and phenomena, as well as a critical examination of classical and modern sociological theories. Key topics include social order, power, inequality, culture, and social change. The subject fosters a deeper understanding of the complexity of human interactions and societal dynamics."
